45a - Proportion of women in managerial positions

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of women in managerial positions,Southern Asia,50,Bangladesh,2017,Female,-,-,-,10.7,-,-,Percentage,Country data,-,Repository: ILO-STATISTICS - Micro data processing;,-,-,-,-
Proportion of women in managerial positions,Southern Asia,144,Sri Lanka,2017,Female,-,-,-,27.6,-,-,Percentage,Country data,-,Employment definition: Including subsistence workers,Geographical coverage: Total national  excluding some areas,Population coverage: Excluding both institutional population and armed forces and/or conscripts;,-,-
Proportion of women in managerial positions,Southern Asia,364,Iran (Islamic Republic of),2017,Female,-,-,-,19,-,-,Percentage,Country data,-,Employment definition: Including subsistence workers,Population coverage: Excluding institutional population,Age coverage - minimum age: 10 years old;,-,-
Proportion of women in managerial positions,Developed regions,8,Albania,2017,Female,-,-,-,22.6,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts;,-,-,-
Proportion of women in managerial positions,Developed regions,40,Austria,2017,Female,-,-,-,31.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,56,Belgium,2017,Female,-,-,-,33.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-
Proportion of women in managerial positions,Developed regions,100,Bulgaria,2017,Female,-,-,-,39.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,112,Belarus,2017,Female,-,-,-,47.6,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers,Population coverage: Excluding non-permanent residents,Institutional sector coverage: Private sector only,Age coverage - maximum age: 74 years old;,-
Proportion of women in managerial positions,Developed regions,191,Croatia,2017,Female,-,-,-,29.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,196,Cyprus,2017,Female,-,-,-,20.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,203,Czech Republic,2017,Female,-,-,-,24.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,208,Denmark,2017,Female,-,-,-,27,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,233,Estonia,2017,Female,-,-,-,38.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,246,Finland,2017,Female,-,-,-,31.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,250,France,2017,Female,-,-,-,33.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,276,Germany,2017,Female,-,-,-,29.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,300,Greece,2017,Female,-,-,-,29.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,348,Hungary,2017,Female,-,-,-,39.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,352,Iceland,2017,Female,-,-,-,32.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,372,Ireland,2017,Female,-,-,-,35.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,376,Israel,2017,Female,-,-,-,34.5,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers;,-,-,-,-
Proportion of women in managerial positions,Developed regions,380,Italy,2017,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-
Proportion of women in managerial positions,Developed regions,392,Japan,2017,Female,-,-,-,13.2,-,-,Percentage,Country data,-,Employment definition: Excluding own-use production workers;,-,-,-,-
Proportion of women in managerial positions,Developed regions,428,Latvia,2017,Female,-,-,-,46.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,440,Lithuania,2017,Female,-,-,-,39.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
Proportion of women in managerial positions,Developed regions,442,Luxembourg,2017,Female,-,-,-,18.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-
